package,category,year,condastats_downloads
ambertools,competitor,2019,3342
ambertools,competitor,2020,88079
ambertools,competitor,2021,404707
ambertools,competitor,2022,343322
ambertools,competitor,2023,355320
ambertools,competitor,2024,518598
ambertools,competitor,2025,697426
ambertools,competitor,2026,81705
openff-amber-ff-ports,openff,2021,242
openff-amber-ff-ports,openff,2022,43660
openff-amber-ff-ports,openff,2023,177313
openff-amber-ff-ports,openff,2024,327223
openff-amber-ff-ports,openff,2025,507954
openff-amber-ff-ports,openff,2026,60432
openff-bespokefit,openff,2022,1823
openff-bespokefit,openff,2023,2375
openff-bespokefit,openff,2024,3534
openff-bespokefit,openff,2025,12566
openff-bespokefit,openff,2026,1695
openff-evaluator-base,openff,2021,1739
openff-evaluator-base,openff,2022,13827
openff-evaluator-base,openff,2023,10468
openff-evaluator-base,openff,2024,3784
openff-evaluator-base,openff,2025,4177
openff-evaluator-base,openff,2026,773
openff-forcefields,openff,2021,78639
openff-forcefields,openff,2022,137990
openff-forcefields,openff,2023,209570
openff-forcefields,openff,2024,338962
openff-forcefields,openff,2025,514924
openff-forcefields,openff,2026,62108
openff-fragmenter-base,openff,2021,2446
openff-fragmenter-base,openff,2022,5685
openff-fragmenter-base,openff,2023,8440
openff-fragmenter-base,openff,2024,15121
openff-fragmenter-base,openff,2025,28616
openff-fragmenter-base,openff,2026,4832
openff-interchange-base,openff,2021,11761
openff-interchange-base,openff,2022,46683
openff-interchange-base,openff,2023,173793
openff-interchange-base,openff,2024,316328
openff-interchange-base,openff,2025,473612
openff-interchange-base,openff,2026,53043
openff-models,openff,2022,1038
openff-models,openff,2023,120477
openff-models,openff,2024,275731
openff-models,openff,2025,260631
openff-models,openff,2026,9765
openff-nagl-base,openff,2023,8241
openff-nagl-base,openff,2024,41177
openff-nagl-base,openff,2025,100073
openff-nagl-base,openff,2026,33598
openff-nagl-models,openff,2023,14204
openff-nagl-models,openff,2024,31692
openff-nagl-models,openff,2025,94245
openff-nagl-models,openff,2026,34447
openff-qcsubmit,openff,2021,2313
openff-qcsubmit,openff,2022,8072
openff-qcsubmit,openff,2023,6216
openff-qcsubmit,openff,2024,14992
openff-qcsubmit,openff,2025,32375
openff-qcsubmit,openff,2026,4980
openff-recharge,openff,2021,5908
openff-recharge,openff,2022,9867
openff-recharge,openff,2023,5899
openff-recharge,openff,2024,37181
openff-recharge,openff,2025,24318
openff-recharge,openff,2026,2889
openff-toolkit-base,openff,2021,121937
openff-toolkit-base,openff,2022,135017
openff-toolkit-base,openff,2023,216254
openff-toolkit-base,openff,2024,401995
openff-toolkit-base,openff,2025,526029
openff-toolkit-base,openff,2026,63288
openff-toolkit-examples,openff,2021,527
openff-toolkit-examples,openff,2022,7799
openff-toolkit-examples,openff,2023,13231
openff-toolkit-examples,openff,2024,9634
openff-toolkit-examples,openff,2025,10733
openff-toolkit-examples,openff,2026,1233
openff-units,openff,2021,17019
openff-units,openff,2022,78435
openff-units,openff,2023,201343
openff-units,openff,2024,340451
openff-units,openff,2025,529030
openff-units,openff,2026,65802
openff-utilities,openff,2021,19122
openff-utilities,openff,2022,81739
openff-utilities,openff,2023,202302
openff-utilities,openff,2024,340520
openff-utilities,openff,2025,531547
openff-utilities,openff,2026,65664
parmed,competitor,2019,13180
parmed,competitor,2020,35489
parmed,competitor,2021,180030
parmed,competitor,2022,266942
parmed,competitor,2023,354281
parmed,competitor,2024,555325
parmed,competitor,2025,742764
parmed,competitor,2026,103059
